epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7989,1.51347,2.54764,2.26767,1.10883,0,0.47801,0.65382,0.481,0.1457,0.58804,0.92739,0.86145,0.45518,1.22205,2.06278,3.01661,1.04172,0,0.000654762,0.000654762,0.000654762
2,32.4453,1.28792,2.19776,1.2973,1.03842,0,0.79983,0.88316,0.78804,0.31407,0.85245,0.93917,0.88854,0.46636,1.43199,2.87613,1.75805,1.05765,0,0.00131707,0.00131707,0.00131707
3,40.0223,1.32474,2.13382,1.19153,1.02649,0,0.77497,0.79968,0.80093,0.39647,0.78811,0.80668,0.8082,0.44207,1.31543,2.29951,1.50116,1.06103,0,0.00197497,0.00197497,0.00197497
4,49.4118,1.2674,2.04441,1.12024,1.00918,0,0.84284,0.94108,0.89671,0.51935,0.84898,0.94331,0.90168,0.52022,1.21706,2.007,1.13971,1.04666,0,0.0019802,0.0019802,0.0019802
5,56.6974,1.26491,2.07655,1.11551,1.01403,0,0.76128,0.8742,0.81767,0.42372,0.81061,0.90669,0.87602,0.51411,1.2457,1.83408,1.27812,1.08311,0,0.0019736,0.0019736,0.0019736
6,63.9612,1.2435,2.08324,1.12267,1.01146,0,0.84639,0.92006,0.90346,0.49841,0.85325,0.92587,0.90863,0.55343,1.1885,1.90911,1.12192,1.05598,0,0.001967,0.001967,0.001967
7,71.4195,1.18279,1.98274,1.03178,0.99103,0,0.777,0.89217,0.83852,0.47794,0.78897,0.90414,0.84985,0.50889,1.15183,1.76825,1.2136,1.01433,0,0.0019604,0.0019604,0.0019604
8,78.7549,1.16619,1.90454,0.99242,0.97652,0,0.82596,0.8793,0.86087,0.50338,0.83913,0.89331,0.87664,0.53951,1.17935,1.70099,1.10638,1.03499,0,0.0019538,0.0019538,0.0019538
9,85.7797,1.1735,1.88947,0.94512,0.97576,0,0.86641,0.93153,0.91151,0.56225,0.87083,0.9383,0.91705,0.5652,1.13697,1.78234,1.01162,1.00937,0,0.0019472,0.0019472,0.0019472
10,92.6813,1.13331,1.91601,0.9376,0.96792,0,0.89016,0.95287,0.90337,0.52799,0.89609,0.95892,0.91034,0.56581,1.12552,1.70372,1.00633,1.00376,0,0.0019406,0.0019406,0.0019406
11,99.6539,1.16102,1.92887,0.93382,0.97851,0,0.80309,0.91183,0.85846,0.51373,0.83066,0.93344,0.88207,0.53553,1.11699,1.86642,1.12568,1.00741,0,0.001934,0.001934,0.001934
12,106.881,1.1804,1.87664,0.95015,0.98682,0,0.81088,0.89076,0.87531,0.53701,0.82082,0.89618,0.88337,0.54282,1.13199,1.81207,1.06588,1.02245,0,0.0019274,0.0019274,0.0019274
13,113.722,1.1445,1.86914,0.91082,0.98907,0,0.86029,0.87264,0.88092,0.52864,0.87394,0.88376,0.8934,0.55578,1.12068,1.76747,1.07669,1.03319,0,0.0019208,0.0019208,0.0019208
14,120.924,1.11631,1.85018,0.90125,0.9764,0,0.84605,0.93344,0.88029,0.53206,0.85785,0.94427,0.89276,0.55604,1.11325,1.65994,0.98949,1.0131,0,0.0019142,0.0019142,0.0019142
15,128.207,1.13236,1.83944,0.84446,0.97188,0,0.90136,0.94936,0.91433,0.55815,0.9062,0.95446,0.91707,0.58334,1.13686,1.66027,0.95155,1.03482,0,0.0019076,0.0019076,0.0019076
16,135.291,1.12324,1.79497,0.83321,0.97437,0,0.88022,0.95489,0.89341,0.52628,0.88756,0.96285,0.90425,0.56846,1.14336,1.63363,0.95916,1.02566,0,0.001901,0.001901,0.001901
17,142.442,1.14892,1.83765,0.84744,0.98382,0,0.84402,0.93121,0.87796,0.53065,0.8523,0.9379,0.88586,0.56436,1.06972,1.62704,0.98108,1.00638,0,0.0018944,0.0018944,0.0018944
18,149.294,1.11681,1.8054,0.84797,0.97252,0,0.85497,0.90865,0.87902,0.53768,0.86873,0.92105,0.89278,0.55018,1.13936,1.65158,0.97341,1.03023,0,0.0018878,0.0018878,0.0018878
19,156.057,1.1321,1.84302,0.82104,0.97407,0,0.87189,0.95255,0.88247,0.51369,0.88161,0.96288,0.89513,0.56353,1.10176,1.66606,0.99338,1.02317,0,0.0018812,0.0018812,0.0018812
20,162.943,1.10616,1.77143,0.83135,0.96764,0,0.86314,0.94841,0.8783,0.52566,0.87087,0.95578,0.88903,0.55813,1.07295,1.6587,0.98957,0.99438,0,0.0018746,0.0018746,0.0018746
21,169.787,1.10284,1.76733,0.79548,0.96685,0,0.87213,0.92746,0.8943,0.55226,0.87722,0.93287,0.89944,0.5795,1.054,1.61947,0.94631,0.99283,0,0.001868,0.001868,0.001868
22,177.229,1.09366,1.7765,0.79744,0.96062,0,0.87275,0.9449,0.88888,0.53715,0.8821,0.95446,0.90099,0.57477,1.11072,1.62888,0.92851,1.0075,0,0.0018614,0.0018614,0.0018614
23,183.932,1.10703,1.76547,0.78999,0.96376,0,0.88746,0.94682,0.89391,0.54366,0.89888,0.95975,0.90936,0.57141,1.14765,1.6534,0.92212,1.02573,0,0.0018548,0.0018548,0.0018548
24,190.662,1.10942,1.79206,0.77757,0.95719,0,0.84528,0.91688,0.87496,0.53342,0.85974,0.92452,0.88945,0.56583,1.08209,1.61578,0.96071,1.01128,0,0.0018482,0.0018482,0.0018482
25,197.401,1.06221,1.76363,0.76911,0.95386,0,0.87559,0.94522,0.88678,0.5196,0.88592,0.95637,0.90256,0.56552,1.12498,1.62449,0.93864,1.01891,0,0.0018416,0.0018416,0.0018416
26,204.227,1.08877,1.74917,0.80057,0.97206,0,0.87162,0.93344,0.89149,0.52277,0.87965,0.94204,0.9021,0.58321,1.12706,1.61159,0.94242,1.03588,0,0.001835,0.001835,0.001835
27,210.97,1.08264,1.75273,0.78445,0.96448,0,0.87574,0.95388,0.89351,0.5469,0.88062,0.95828,0.89587,0.56559,1.12718,1.68091,0.91531,1.02348,0,0.0018284,0.0018284,0.0018284
28,218.922,1.08393,1.72225,0.77024,0.95391,0,0.85426,0.94331,0.88303,0.54176,0.86306,0.95,0.89262,0.56527,1.05961,1.60432,0.95364,0.991,0,0.0018218,0.0018218,0.0018218
29,226.388,1.06979,1.7652,0.77574,0.9631,0,0.89803,0.97044,0.90256,0.54538,0.90131,0.9744,0.9077,0.5858,1.10331,1.58843,0.89001,1.01787,0,0.0018152,0.0018152,0.0018152
30,233.305,1.06059,1.72336,0.75846,0.94858,0,0.87575,0.92452,0.89136,0.53362,0.8842,0.93344,0.90047,0.57765,1.08689,1.63165,0.95638,0.99573,0,0.0018086,0.0018086,0.0018086
31,240.186,1.05177,1.69754,0.76715,0.95299,0,0.88216,0.9242,0.8873,0.5471,0.89282,0.93387,0.9006,0.58547,1.08416,1.59097,0.91415,1.00029,0,0.001802,0.001802,0.001802
32,247.216,1.06735,1.73685,0.72803,0.95833,0,0.87458,0.9586,0.88495,0.52692,0.88505,0.96975,0.89829,0.57827,1.12351,1.59463,0.89327,1.00347,0,0.0017954,0.0017954,0.0017954
33,257.81,1.03914,1.68889,0.74391,0.94417,0,0.84454,0.90138,0.87422,0.55494,0.86641,0.91916,0.89122,0.56928,1.04939,1.59588,0.9254,0.98424,0,0.0017888,0.0017888,0.0017888
34,264.577,1.06811,1.7197,0.74144,0.95562,0,0.86433,0.95096,0.87805,0.53914,0.87669,0.96226,0.8927,0.56762,1.13989,1.63306,0.89358,1.0046,0,0.0017822,0.0017822,0.0017822
35,271.922,1.07217,1.7151,0.74675,0.94847,0,0.8623,0.95328,0.88376,0.55386,0.87172,0.96146,0.89322,0.58033,1.02631,1.56196,0.92145,0.97275,0,0.0017756,0.0017756,0.0017756
36,278.719,1.05781,1.68459,0.74642,0.94738,0,0.87113,0.94939,0.88195,0.54819,0.88718,0.96688,0.90325,0.57324,1.08039,1.64175,0.90962,1.00355,0,0.001769,0.001769,0.001769
37,286.454,1.09173,1.67999,0.75449,0.95208,0,0.87709,0.94841,0.89619,0.57864,0.88305,0.95287,0.90213,0.58634,1.05014,1.57472,0.88488,0.99855,0,0.0017624,0.0017624,0.0017624
38,293.361,1.0382,1.67992,0.73724,0.9491,0,0.8881,0.95547,0.89254,0.56246,0.89343,0.9612,0.89913,0.5835,1.06516,1.62355,0.87509,0.97992,0,0.0017558,0.0017558,0.0017558
39,299.916,1.05651,1.70835,0.73106,0.95052,0,0.88813,0.9582,0.89662,0.56498,0.89639,0.96711,0.90518,0.59329,1.06929,1.54082,0.86361,1.00407,0,0.0017492,0.0017492,0.0017492
40,306.85,1.03808,1.68896,0.73392,0.94853,0,0.87412,0.93987,0.8984,0.57894,0.87837,0.94752,0.90339,0.59151,1.00945,1.57344,0.87617,0.96411,0,0.0017426,0.0017426,0.0017426
