epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3251,1.47478,2.40383,1.63494,1.20873,0,0.7025,0.76497,0.71835,0.32985,0.77385,0.8414,0.80519,0.42086,1.38605,2.84837,1.84325,1.13781,0,0.000654762,0.000654762,0.000654762
2,28.8324,1.33468,2.21646,1.04503,1.07619,0,0.65508,0.84617,0.74393,0.4135,0.6593,0.8379,0.73386,0.35775,1.26633,3.08147,1.33439,1.12334,0,0.00131707,0.00131707,0.00131707
3,69.19,1.30199,2.21808,1.00653,1.06318,0,0.82629,0.85732,0.87476,0.50645,0.83695,0.87133,0.88552,0.5041,1.23746,2.05322,1.1469,1.09884,0,0.00197497,0.00197497,0.00197497
4,84.3221,1.33229,2.1349,0.97441,1.06131,0,0.8744,0.90457,0.88736,0.49677,0.87748,0.90775,0.88919,0.53733,1.2387,1.98441,1.13409,1.09656,0,0.0019802,0.0019802,0.0019802
5,100.621,1.24272,2.08404,0.93986,1.04287,0,0.75826,0.92202,0.79828,0.43237,0.76324,0.92807,0.80014,0.45746,1.27403,2.00847,1.13859,1.10154,0,0.0019736,0.0019736,0.0019736
6,113.703,1.2231,1.96174,0.89393,1.02662,0,0.80087,0.92166,0.84269,0.49531,0.80802,0.92834,0.85068,0.4981,1.13966,1.92855,1.0601,1.02848,0,0.001967,0.001967,0.001967
7,126.705,1.22201,1.99865,0.86758,1.02438,0,0.84418,0.92994,0.86127,0.48756,0.85095,0.93821,0.86754,0.50847,1.19997,2.00703,1.05199,1.05037,0,0.0019604,0.0019604,0.0019604
8,138.198,1.21308,1.95543,0.87304,1.01488,0,0.87985,0.91975,0.88661,0.51076,0.89081,0.93121,0.90136,0.54534,1.21636,1.841,0.98435,1.04902,0,0.0019538,0.0019538,0.0019538
9,157.392,1.19535,1.91007,0.85901,1.01072,0,0.8777,0.92452,0.89991,0.5081,0.88614,0.9328,0.90764,0.5543,1.20425,1.75379,0.98174,1.07134,0,0.0019472,0.0019472,0.0019472
10,169.89,1.18915,1.98054,0.83165,1.0174,0,0.87866,0.90573,0.89014,0.49778,0.88468,0.9137,0.89776,0.53677,1.25875,1.8598,1.01474,1.10398,0,0.0019406,0.0019406,0.0019406
11,182.519,1.14592,1.91156,0.83114,1.00196,0,0.88158,0.92038,0.89624,0.5261,0.88643,0.92715,0.90332,0.55078,1.14897,1.79448,0.98216,1.05627,0,0.001934,0.001934,0.001934
12,199.7,1.14578,1.85413,0.82685,0.98887,0,0.87751,0.9263,0.88618,0.51575,0.88491,0.93541,0.89413,0.55944,1.14816,1.75102,0.95787,1.04312,0,0.0019274,0.0019274,0.0019274
13,213.805,1.14418,1.83904,0.79144,0.99059,0,0.84682,0.91943,0.88223,0.51042,0.84888,0.92166,0.88258,0.53115,1.22084,1.71805,0.92972,1.07999,0,0.0019208,0.0019208,0.0019208
14,224.266,1.11385,1.85499,0.80439,0.98488,0,0.84038,0.92834,0.86848,0.52998,0.84412,0.93248,0.87259,0.55258,1.09467,1.66996,0.92027,1.01046,0,0.0019142,0.0019142,0.0019142
15,238.921,1.12943,1.81533,0.76982,0.98342,0,0.87797,0.93535,0.88609,0.52881,0.88392,0.9414,0.89381,0.53301,1.14224,1.94767,0.90723,1.02319,0,0.0019076,0.0019076,0.0019076
16,249.404,1.07762,1.80653,0.74478,0.98137,0,0.87991,0.92006,0.88481,0.55122,0.88208,0.92431,0.8885,0.56977,1.09407,1.62333,0.90092,1.03058,0,0.001901,0.001901,0.001901
17,265.338,1.09382,1.75591,0.76701,0.97709,0,0.88462,0.93631,0.88832,0.52027,0.89587,0.94936,0.90492,0.57207,1.17581,1.61343,0.93283,1.05916,0,0.0018944,0.0018944,0.0018944
18,275.197,1.09455,1.75052,0.7553,0.97983,0,0.86487,0.91929,0.88408,0.51471,0.87774,0.93282,0.89704,0.57189,1.20032,1.66868,0.91989,1.07541,0,0.0018878,0.0018878,0.0018878
19,286.034,1.10198,1.80172,0.75482,0.98179,0,0.87103,0.94904,0.87627,0.5133,0.88253,0.96242,0.89061,0.56715,1.17974,1.66478,0.91374,1.04571,0,0.0018812,0.0018812,0.0018812
20,299.268,1.1126,1.78206,0.73746,0.98817,0,0.89048,0.95028,0.89457,0.53786,0.89436,0.95442,0.90004,0.57232,1.08604,1.63956,0.89534,1.00466,0,0.0018746,0.0018746,0.0018746
21,315.091,1.07362,1.71662,0.73438,0.97562,0,0.86017,0.9586,0.88019,0.54262,0.86646,0.96561,0.88675,0.56647,1.09155,1.61349,0.88365,1.02821,0,0.001868,0.001868,0.001868
22,325.607,1.05101,1.7376,0.73444,0.96506,0,0.85884,0.93631,0.88656,0.5426,0.86484,0.94395,0.89262,0.56383,1.09465,1.70031,0.8724,1.01105,0,0.0018614,0.0018614,0.0018614
23,336.196,1.04807,1.69932,0.74051,0.96039,0,0.87518,0.93335,0.89391,0.55908,0.88273,0.93971,0.89952,0.58082,1.06887,1.61402,0.87928,1.00145,0,0.0018548,0.0018548,0.0018548
24,348.53,1.07996,1.75135,0.72873,0.9679,0,0.85834,0.92261,0.87306,0.5183,0.87904,0.93733,0.89342,0.57098,1.1637,1.61746,0.93109,1.05333,0,0.0018482,0.0018482,0.0018482
25,361.79,1.04543,1.72112,0.7275,0.96039,0,0.86741,0.94618,0.90034,0.58081,0.87004,0.94904,0.902,0.58394,1.01821,1.62747,0.84016,0.98926,0,0.0018416,0.0018416,0.0018416
26,378.037,1.06297,1.7047,0.72875,0.96788,0,0.85458,0.93201,0.87686,0.53785,0.87293,0.94554,0.89317,0.57152,1.0812,1.60426,0.91647,1.01243,0,0.001835,0.001835,0.001835
27,390.333,1.0498,1.7015,0.72,0.96972,0,0.86238,0.95992,0.88447,0.56153,0.87011,0.96852,0.89201,0.58389,1.05821,1.55829,0.84111,1.01029,0,0.0018284,0.0018284,0.0018284
28,401.594,1.08083,1.67892,0.71293,0.97191,0,0.87275,0.93917,0.89665,0.56917,0.88463,0.94713,0.90887,0.59891,1.05649,1.60111,0.86682,0.99491,0,0.0018218,0.0018218,0.0018218
29,419.401,1.05606,1.68417,0.72174,0.96459,0,0.85103,0.92965,0.90422,0.59148,0.86468,0.94015,0.91326,0.58188,1.03702,1.61609,0.86939,1.00907,0,0.0018152,0.0018152,0.0018152
30,434.961,1.0341,1.66676,0.69281,0.95659,0,0.8662,0.93248,0.88829,0.56439,0.87308,0.93822,0.89611,0.58947,1.02624,1.55718,0.86478,0.98552,0,0.0018086,0.0018086,0.0018086
31,446.119,1.04017,1.63376,0.70416,0.95902,0,0.86259,0.90563,0.8798,0.54863,0.86937,0.91497,0.88948,0.58996,1.10923,1.56169,0.86958,1.02471,0,0.001802,0.001802,0.001802
32,456.3,1.04366,1.64405,0.7098,0.95772,0,0.88003,0.96369,0.90574,0.57694,0.88468,0.96879,0.91008,0.6118,1.09074,1.53949,0.82103,1.02286,0,0.0017954,0.0017954,0.0017954
33,549.248,1.02691,1.6286,0.70544,0.9523,0,0.87833,0.92357,0.90371,0.5898,0.88756,0.93185,0.91021,0.60782,1.02167,1.54461,0.83256,0.99309,0,0.0017888,0.0017888,0.0017888
34,566.474,1.06631,1.65584,0.70547,0.96798,0,0.85392,0.91223,0.86884,0.51788,0.87323,0.9258,0.88917,0.56687,1.13353,1.62471,0.92559,1.04126,0,0.0017822,0.0017822,0.0017822
35,576.496,1.04133,1.65613,0.70673,0.95739,0,0.87627,0.95892,0.89301,0.56827,0.88059,0.96561,0.8966,0.58452,1.0309,1.55949,0.85123,0.99357,0,0.0017756,0.0017756,0.0017756
36,587.412,1.01162,1.62917,0.68926,0.94319,0,0.89492,0.93248,0.90121,0.59221,0.90225,0.94013,0.90935,0.59998,1.02114,1.5604,0.83066,0.99008,0,0.001769,0.001769,0.001769
37,597.71,1.01116,1.62473,0.67047,0.94958,0,0.88225,0.93065,0.89541,0.58342,0.8892,0.93797,0.90123,0.59942,1.00267,1.54427,0.85566,0.97775,0,0.0017624,0.0017624,0.0017624
38,611.654,1.0286,1.64686,0.69392,0.95445,0,0.86656,0.92866,0.8854,0.55735,0.87547,0.93822,0.89333,0.58544,1.05805,1.6046,0.87022,0.9996,0,0.0017558,0.0017558,0.0017558
39,622.199,1.02005,1.65239,0.6875,0.9574,0,0.88969,0.91752,0.88749,0.5728,0.90513,0.93344,0.90412,0.59696,1.04816,1.56516,0.86918,1.00508,0,0.0017492,0.0017492,0.0017492
40,632.321,1.00776,1.60891,0.68602,0.94931,0,0.88181,0.90987,0.89807,0.57973,0.89046,0.91879,0.90796,0.59906,1.01357,1.55312,0.8677,0.98544,0,0.0017426,0.0017426,0.0017426
41,642.018,1.00363,1.61879,0.68785,0.94736,0,0.85647,0.93949,0.89068,0.55916,0.86992,0.95,0.90227,0.58926,1.05477,1.55396,0.85108,1.00184,0,0.001736,0.001736,0.001736
42,652.601,0.99882,1.60309,0.68216,0.94782,0,0.8797,0.95096,0.89285,0.56384,0.88824,0.95926,0.90172,0.59519,1.04678,1.5296,0.84956,0.98431,0,0.0017294,0.0017294,0.0017294
43,665.169,1.01089,1.60913,0.68404,0.9472,0,0.87624,0.93577,0.90492,0.59777,0.88527,0.94204,0.90932,0.60366,1.01852,1.57079,0.83143,0.99138,0,0.0017228,0.0017228,0.0017228
44,674.644,1.02814,1.59058,0.66606,0.94799,0,0.88059,0.923,0.88953,0.57427,0.89348,0.93535,0.90411,0.59123,1.03106,1.51107,0.84603,0.99513,0,0.0017162,0.0017162,0.0017162
45,685.049,1.00248,1.59434,0.67333,0.948,0,0.85887,0.88575,0.87448,0.56469,0.86694,0.89268,0.8843,0.58135,1.0311,1.55258,0.88206,0.99347,0,0.0017096,0.0017096,0.0017096
46,694.033,1.01751,1.60427,0.6761,0.95046,0,0.87465,0.93777,0.89104,0.58782,0.88199,0.94395,0.8979,0.58651,1.00374,1.52643,0.8209,0.98224,0,0.001703,0.001703,0.001703
47,704.81,0.98854,1.5927,0.66084,0.93876,0,0.86008,0.91027,0.89537,0.58827,0.867,0.91759,0.89954,0.60427,1.02255,1.52313,0.80468,0.9872,0,0.0016964,0.0016964,0.0016964
48,715.031,0.99061,1.5913,0.66866,0.94128,0,0.86806,0.93025,0.88244,0.57645,0.87077,0.94206,0.88795,0.58422,1.04337,1.57167,0.78792,0.99559,0,0.0016898,0.0016898,0.0016898
49,724.711,1.01016,1.56495,0.66843,0.93269,0,0.87171,0.93698,0.90597,0.60466,0.88623,0.95258,0.9131,0.60273,0.98645,1.50225,0.86764,0.98615,0,0.0016832,0.0016832,0.0016832
50,735.833,1.00436,1.59122,0.65835,0.94195,0,0.89351,0.94324,0.90295,0.58537,0.90075,0.95089,0.91127,0.59628,1.05459,1.55554,0.81048,0.99576,0,0.0016766,0.0016766,0.0016766
51,745.544,0.98368,1.58052,0.66082,0.93835,0,0.85681,0.92996,0.89067,0.56617,0.86699,0.93625,0.90235,0.60041,1.04321,1.51968,0.83753,0.99509,0,0.00167,0.00167,0.00167
52,755.324,1.00717,1.58805,0.64015,0.94516,0,0.88339,0.93439,0.89933,0.60102,0.89129,0.94076,0.90658,0.59855,1.00916,1.54325,0.8064,0.98362,0,0.0016634,0.0016634,0.0016634
53,764.693,0.99509,1.57875,0.66721,0.9375,0,0.87344,0.92516,0.89024,0.5896,0.88583,0.93631,0.89871,0.59978,1.01273,1.51702,0.82836,0.98002,0,0.0016568,0.0016568,0.0016568
54,775.369,1.00589,1.57591,0.65898,0.93864,0,0.88448,0.9449,0.9048,0.58512,0.89312,0.95414,0.912,0.60604,1.04331,1.5633,0.8123,0.98578,0,0.0016502,0.0016502,0.0016502
55,786.806,0.99508,1.57995,0.65617,0.94147,0,0.90303,0.91497,0.91298,0.60623,0.9125,0.92357,0.92015,0.61582,1.04132,1.53947,0.81479,1.00909,0,0.0016436,0.0016436,0.0016436
56,800.286,0.99106,1.55901,0.64929,0.94129,0,0.89343,0.93978,0.90975,0.61093,0.90221,0.94902,0.91492,0.61394,0.986,1.47921,0.78401,0.98504,0,0.001637,0.001637,0.001637
57,813.493,0.98573,1.55905,0.63631,0.93398,0,0.88633,0.9328,0.89561,0.60418,0.89432,0.93917,0.89957,0.59219,1.00472,1.51941,0.81167,0.9772,0,0.0016304,0.0016304,0.0016304
58,824.633,0.98116,1.54646,0.64067,0.93419,0,0.87397,0.9364,0.89582,0.57374,0.88424,0.9414,0.90267,0.59823,1.01726,1.5284,0.79455,0.98214,0,0.0016238,0.0016238,0.0016238
59,877.928,0.98044,1.54616,0.64631,0.94028,0,0.884,0.91984,0.89579,0.59411,0.89627,0.93838,0.90777,0.59909,1.0082,1.52378,0.84646,0.98533,0,0.0016172,0.0016172,0.0016172
60,889.146,0.97138,1.54698,0.66154,0.93536,0,0.89996,0.94108,0.90501,0.61509,0.9076,0.95096,0.91078,0.6044,0.97079,1.50918,0.78883,0.96831,0,0.0016106,0.0016106,0.0016106
61,901.11,0.9701,1.54114,0.65664,0.93091,0,0.88763,0.9328,0.89754,0.58137,0.89238,0.94008,0.90257,0.60115,1.01782,1.50855,0.80527,0.98019,0,0.001604,0.001604,0.001604
62,913.349,0.97095,1.54525,0.65651,0.92945,0,0.88144,0.94236,0.89661,0.59975,0.8863,0.94585,0.89829,0.60708,0.9907,1.49323,0.78634,0.97367,0,0.0015974,0.0015974,0.0015974
63,924.239,0.97822,1.55484,0.65309,0.93655,0,0.8883,0.91432,0.89809,0.58612,0.89387,0.92005,0.90347,0.61918,0.99685,1.45584,0.82987,0.98552,0,0.0015908,0.0015908,0.0015908
64,940.621,0.97025,1.51271,0.635,0.93683,0,0.90054,0.95096,0.92147,0.60966,0.90664,0.95828,0.92327,0.63466,1.03329,1.48576,0.758,0.99517,0,0.0015842,0.0015842,0.0015842
65,951.606,0.97139,1.52612,0.64081,0.93093,0,0.88296,0.95064,0.89829,0.59468,0.8939,0.96242,0.90886,0.6026,0.99333,1.51108,0.79088,0.98055,0,0.0015776,0.0015776,0.0015776
66,960.408,0.96103,1.53194,0.63208,0.93305,0,0.90128,0.94299,0.90932,0.60308,0.90828,0.95032,0.91482,0.61306,1.01579,1.48786,0.77236,0.98667,0,0.001571,0.001571,0.001571
67,969.657,0.97488,1.54048,0.62444,0.93406,0,0.88947,0.92006,0.90718,0.61877,0.89301,0.92773,0.9125,0.62433,1.00028,1.50091,0.78571,0.97828,0,0.0015644,0.0015644,0.0015644
68,979.509,0.96817,1.55913,0.63507,0.93234,0,0.88693,0.94178,0.89582,0.60462,0.89563,0.95102,0.90393,0.60208,0.99476,1.54155,0.79052,0.97039,0,0.0015578,0.0015578,0.0015578
69,989.387,0.96992,1.53848,0.63499,0.93414,0,0.87492,0.92675,0.89174,0.57327,0.88171,0.93767,0.89723,0.60844,1.00962,1.4837,0.83046,0.97756,0,0.0015512,0.0015512,0.0015512
70,998.627,0.95572,1.51335,0.63201,0.93589,0,0.88395,0.93312,0.90817,0.60174,0.8874,0.94045,0.91257,0.61336,1.00834,1.46114,0.79226,0.97675,0,0.0015446,0.0015446,0.0015446
71,1007.88,0.97624,1.51037,0.6478,0.93199,0,0.8712,0.91554,0.91494,0.62559,0.87537,0.91935,0.91638,0.62734,0.95547,1.44659,0.80888,0.97212,0,0.001538,0.001538,0.001538
72,1018.22,0.95277,1.52081,0.63061,0.93518,0,0.8844,0.93121,0.89584,0.61179,0.89158,0.94076,0.90357,0.60294,1.00186,1.50639,0.77579,0.97432,0,0.0015314,0.0015314,0.0015314
73,1027.72,0.96329,1.51413,0.62781,0.93656,0,0.89976,0.94299,0.91,0.62728,0.90723,0.94936,0.91552,0.62317,0.93408,1.45968,0.78864,0.95682,0,0.0015248,0.0015248,0.0015248
74,1036.88,0.96024,1.51431,0.6375,0.92282,0,0.87815,0.91344,0.88937,0.58216,0.88733,0.92299,0.90142,0.60946,1.01486,1.47955,0.82802,0.98139,0,0.0015182,0.0015182,0.0015182
75,1045.96,0.95377,1.52031,0.62496,0.93506,0,0.89124,0.92484,0.89539,0.5813,0.90276,0.93535,0.90727,0.61022,1.01361,1.47008,0.82808,0.98513,0,0.0015116,0.0015116,0.0015116
76,1055.3,0.98371,1.52054,0.63461,0.94003,0,0.88447,0.91879,0.89742,0.60873,0.89225,0.92803,0.90376,0.60282,1.00755,1.53728,0.80372,0.98225,0,0.001505,0.001505,0.001505
77,1064.92,0.9684,1.5068,0.62903,0.92779,0,0.90338,0.93121,0.9025,0.61943,0.90643,0.9379,0.9065,0.60471,0.95453,1.48356,0.77299,0.96111,0,0.0014984,0.0014984,0.0014984
78,1075.31,0.95409,1.50345,0.63692,0.92809,0,0.87714,0.9345,0.89498,0.6043,0.88712,0.9411,0.90161,0.61158,0.98901,1.47646,0.78315,0.97306,0,0.0014918,0.0014918,0.0014918
79,1085.67,0.94316,1.48161,0.62351,0.92655,0,0.88153,0.9289,0.90018,0.61218,0.89059,0.93845,0.9076,0.61989,0.99263,1.46907,0.77467,0.97514,0,0.0014852,0.0014852,0.0014852
80,1096.45,0.96548,1.51626,0.64071,0.93297,0,0.89912,0.95651,0.90586,0.61377,0.90989,0.96592,0.9118,0.61778,0.973,1.48073,0.77898,0.96531,0,0.0014786,0.0014786,0.0014786
81,1109.83,0.9573,1.51963,0.61595,0.93461,0,0.86883,0.91624,0.8952,0.59682,0.88573,0.93089,0.90719,0.606,0.98071,1.51651,0.81738,0.96895,0,0.001472,0.001472,0.001472
82,1120.63,0.94306,1.50414,0.62027,0.92775,0,0.88663,0.92654,0.8954,0.60323,0.89791,0.93832,0.90729,0.61331,0.99911,1.46372,0.80787,0.97615,0,0.0014654,0.0014654,0.0014654
83,1130.16,0.95938,1.51402,0.63721,0.92515,0,0.87578,0.92951,0.89002,0.58477,0.88418,0.93843,0.8967,0.60909,1.02302,1.49475,0.79716,0.98915,0,0.0014588,0.0014588,0.0014588
84,1140.04,0.9603,1.51496,0.62186,0.92989,0,0.88703,0.94022,0.89881,0.61437,0.89394,0.94754,0.90522,0.60728,0.99095,1.53911,0.76325,0.9749,0,0.0014522,0.0014522,0.0014522
85,1150.57,0.96264,1.51824,0.62103,0.93479,0,0.89239,0.94682,0.90227,0.61907,0.90018,0.95446,0.90862,0.61809,1.00192,1.46925,0.74598,0.97054,0,0.0014456,0.0014456,0.0014456
