epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.782,1.53264,2.59678,1.97053,1.17069,0,0.14678,0.81338,0.54218,0.22326,0.16213,0.89841,0.628,0.35274,1.16918,2.36566,2.58834,1.02115,0,0.000654762,0.000654762,0.000654762
2,72.3567,1.30507,2.23689,1.25973,1.06141,0,0.82179,0.82994,0.84933,0.47049,0.81548,0.82357,0.83461,0.39061,1.20677,2.66289,1.55012,1.0355,0,0.00131707,0.00131707,0.00131707
3,105.06,1.29581,2.2433,1.22642,1.05182,0,0.78672,0.81561,0.83216,0.46506,0.80784,0.82994,0.84971,0.42425,1.22283,2.17594,1.24509,1.03826,0,0.00197497,0.00197497,0.00197497
4,139.992,1.25058,2.10502,1.12945,1.03046,0,0.84475,0.90127,0.87993,0.51375,0.85311,0.91019,0.89014,0.53123,1.17778,1.83063,1.10928,1.04022,0,0.0019802,0.0019802,0.0019802
5,171.459,1.2255,2.02996,1.08852,1.02225,0,0.78156,0.85541,0.8033,0.40241,0.84033,0.91975,0.88254,0.52178,1.23904,1.78044,1.36922,1.09652,0,0.0019736,0.0019736,0.0019736
6,208.718,1.1948,1.96653,1.06991,1.00656,0,0.84527,0.88949,0.8808,0.51359,0.86195,0.90064,0.90003,0.52959,1.14366,1.74475,1.09737,1.02177,0,0.001967,0.001967,0.001967
7,239.92,1.20049,1.98384,0.98974,1.0169,0,0.87419,0.93824,0.89084,0.49854,0.88891,0.95303,0.90307,0.55058,1.15764,1.79535,1.13758,1.05226,0,0.0019604,0.0019604,0.0019604
8,269.1,1.1997,1.971,1.00578,1.0057,0,0.86559,0.91624,0.87922,0.49643,0.88848,0.93726,0.89931,0.54386,1.14436,1.81345,1.1063,1.02698,0,0.0019538,0.0019538,0.0019538
9,306.372,1.18146,1.93922,0.94727,1.00323,0,0.89408,0.95828,0.90638,0.50867,0.89613,0.96168,0.90999,0.57832,1.18509,1.66281,1.01612,1.06448,0,0.0019472,0.0019472,0.0019472
10,333.892,1.15171,1.91992,0.92211,0.99909,0,0.87793,0.92532,0.88807,0.52814,0.88474,0.93312,0.8963,0.55738,1.14769,1.69258,1.00773,1.04949,0,0.0019406,0.0019406,0.0019406
11,366.257,1.12978,1.85291,0.89329,0.99204,0,0.88745,0.95423,0.90511,0.54799,0.89367,0.96092,0.90956,0.58015,1.07945,1.64464,0.97111,1.02995,0,0.001934,0.001934,0.001934
12,401.907,1.14786,1.86189,0.88647,0.98183,0,0.86331,0.93732,0.88188,0.52477,0.87556,0.94522,0.89474,0.55429,1.08824,1.69337,0.98933,1.02228,0,0.0019274,0.0019274,0.0019274
13,430.134,1.14571,1.85093,0.85791,0.98529,0,0.87466,0.94459,0.8949,0.55177,0.88272,0.94919,0.90119,0.55983,1.16269,1.68385,0.94436,1.03449,0,0.0019208,0.0019208,0.0019208
14,463.272,1.10442,1.82806,0.85515,0.98444,0,0.88264,0.93312,0.88861,0.56292,0.89137,0.94236,0.90008,0.56636,1.05019,1.63353,0.94609,1.00145,0,0.0019142,0.0019142,0.0019142
15,496.469,1.1207,1.81933,0.83614,0.97587,0,0.88481,0.95401,0.91711,0.56524,0.88942,0.95955,0.92111,0.59449,1.05409,1.68328,0.93944,1.01291,0,0.0019076,0.0019076,0.0019076
16,524.36,1.08112,1.81203,0.83435,0.98255,0,0.88299,0.92675,0.89233,0.54017,0.8873,0.93248,0.89803,0.57133,1.11486,1.64845,0.94238,1.03245,0,0.001901,0.001901,0.001901
17,559.509,1.09393,1.80369,0.84813,0.97611,0,0.88531,0.94645,0.88557,0.51448,0.9035,0.96497,0.90932,0.57061,1.15439,1.63374,0.98003,1.05931,0,0.0018944,0.0018944,0.0018944
18,595.176,1.09913,1.79931,0.82716,0.9723,0,0.88712,0.95612,0.89405,0.54411,0.89569,0.96536,0.90415,0.56796,1.09381,1.67542,0.92604,1.02209,0,0.0018878,0.0018878,0.0018878
19,620.542,1.10854,1.81922,0.80074,0.98174,0,0.85775,0.93631,0.86343,0.50782,0.87963,0.96019,0.89351,0.56385,1.10417,1.62367,1.01706,1.02041,0,0.0018812,0.0018812,0.0018812
20,652.142,1.09601,1.79012,0.80568,0.98008,0,0.87493,0.95287,0.88068,0.54134,0.88169,0.95882,0.88782,0.55767,1.0688,1.67536,0.93707,0.99644,0,0.0018746,0.0018746,0.0018746
21,34.7373,1.14778,1.85672,0.92262,1.05836,0,0.86863,0.92022,0.89817,0.55086,0.87795,0.93009,0.90511,0.58554,1.12521,1.67175,0.9458,1.09238,0,0.001868,0.001868,0.001868
22,68.6609,1.11554,1.7834,0.85764,1.00977,0,0.87199,0.92389,0.87858,0.55138,0.88362,0.93535,0.89316,0.56767,1.05817,1.61434,0.93237,1.0341,0,0.0018614,0.0018614,0.0018614
23,101.269,1.10248,1.7875,0.83401,0.99098,0,0.87868,0.93631,0.88126,0.5168,0.89979,0.95791,0.90668,0.56764,1.12599,1.64428,0.9782,1.05598,0,0.0018548,0.0018548,0.0018548
24,138.77,1.08253,1.74176,0.79162,0.98278,0,0.88867,0.95076,0.89587,0.56302,0.8944,0.95573,0.90267,0.58356,1.03453,1.59203,0.93793,1.01308,0,0.0018482,0.0018482,0.0018482
25,170.4,1.06409,1.72233,0.78964,0.97959,0,0.84102,0.92038,0.85183,0.49963,0.87266,0.94682,0.88591,0.55517,1.07412,1.62481,1.04251,1.02895,0,0.0018416,0.0018416,0.0018416
26,203.027,1.07441,1.68342,0.79079,0.97112,0,0.87505,0.95446,0.88152,0.56019,0.88378,0.96369,0.89302,0.56041,1.03913,1.6784,0.92043,1.00227,0,0.001835,0.001835,0.001835
27,236.131,1.05648,1.72791,0.7929,0.98212,0,0.89349,0.96019,0.89552,0.54545,0.9007,0.96776,0.90609,0.57874,1.10859,1.68468,0.9146,1.04627,0,0.0018284,0.0018284,0.0018284
28,264.711,1.06924,1.71798,0.77927,0.96937,0,0.83543,0.91019,0.86058,0.52195,0.86564,0.93662,0.87938,0.55705,1.05423,1.66778,0.95062,1.00657,0,0.0018218,0.0018218,0.0018218
29,295.308,1.07206,1.71556,0.76054,0.97288,0,0.88982,0.97229,0.90065,0.56263,0.89483,0.97547,0.90415,0.59257,1.05655,1.54989,0.85748,1.0125,0,0.0018152,0.0018152,0.0018152
30,325.386,1.065,1.73478,0.73616,0.97177,0,0.89214,0.95353,0.89937,0.56003,0.90178,0.96242,0.91074,0.57151,1.06433,1.64034,0.8956,1.01313,0,0.0018086,0.0018086,0.0018086
31,357.46,1.03714,1.69456,0.76204,0.96858,0,0.8664,0.95096,0.8862,0.5587,0.87483,0.95937,0.89133,0.58746,1.02305,1.51978,0.8883,1.00345,0,0.001802,0.001802,0.001802
32,389.188,1.05716,1.6846,0.74508,0.95835,0,0.86848,0.94424,0.87847,0.54746,0.8805,0.95414,0.8929,0.58012,1.03657,1.56399,0.90822,0.99854,0,0.0017954,0.0017954,0.0017954
33,421.384,1.03695,1.66815,0.72864,0.95467,0,0.87686,0.9586,0.88708,0.5652,0.88289,0.96433,0.89335,0.58116,1.06894,1.54624,0.84836,1.01147,0,0.0017888,0.0017888,0.0017888
34,451.947,1.02976,1.67248,0.74078,0.96063,0,0.86152,0.92325,0.88112,0.56922,0.88119,0.94172,0.89886,0.57555,1.01418,1.55936,0.8835,0.98699,0,0.0017822,0.0017822,0.0017822
35,484.133,1.04146,1.67158,0.71632,0.9564,0,0.87637,0.93503,0.88677,0.58078,0.89182,0.95042,0.89772,0.58019,1.02055,1.57385,0.86727,0.99357,0,0.0017756,0.0017756,0.0017756
36,517.262,1.0173,1.68182,0.70987,0.96449,0,0.89306,0.94676,0.89591,0.56278,0.89636,0.95027,0.89917,0.58968,1.08239,1.55733,0.86013,1.02175,0,0.001769,0.001769,0.001769
37,544.658,1.04214,1.66456,0.73429,0.95997,0,0.88661,0.93633,0.89441,0.56066,0.89575,0.94132,0.90409,0.59627,1.08098,1.55495,0.85932,1.01495,0,0.0017624,0.0017624,0.0017624
38,576.092,1.03994,1.65259,0.70931,0.95813,0,0.87507,0.9525,0.89127,0.57001,0.88522,0.96178,0.89841,0.59502,1.01794,1.56417,0.84204,0.99031,0,0.0017558,0.0017558,0.0017558
39,608.066,1.04611,1.67788,0.72482,0.96526,0,0.85279,0.92984,0.87459,0.5525,0.86708,0.94321,0.89162,0.57361,1.03027,1.56629,0.90928,0.99214,0,0.0017492,0.0017492,0.0017492
40,639.789,1.05928,1.68844,0.72297,0.97392,0,0.87602,0.95478,0.88551,0.54456,0.88293,0.96317,0.89243,0.56666,1.10583,1.65278,0.88786,1.0178,0,0.0017426,0.0017426,0.0017426
41,664.856,1.04898,1.66933,0.7168,0.96259,0,0.88626,0.95828,0.89374,0.56117,0.89142,0.96529,0.89879,0.59166,1.02431,1.54044,0.84714,0.98782,0,0.001736,0.001736,0.001736
42,687.718,1.01668,1.67147,0.73712,0.95211,0,0.86451,0.93883,0.88457,0.58527,0.87425,0.95191,0.89252,0.58897,0.97893,1.5656,0.86867,0.97196,0,0.0017294,0.0017294,0.0017294
43,712.934,1.0474,1.6667,0.7154,0.95937,0,0.88092,0.95032,0.89708,0.58418,0.88621,0.95573,0.90261,0.59971,1.02099,1.51366,0.85694,0.98946,0,0.0017228,0.0017228,0.0017228
44,744.357,1.03943,1.69347,0.70769,0.96005,0,0.87043,0.95573,0.88441,0.57569,0.88058,0.96688,0.89222,0.55987,1.04951,1.63311,0.8227,0.99726,0,0.0017162,0.0017162,0.0017162
45,776.113,1.03786,1.66867,0.72235,0.95483,0,0.88043,0.94507,0.89778,0.58273,0.8899,0.95242,0.90361,0.5767,0.99617,1.64875,0.85655,0.97943,0,0.0017096,0.0017096,0.0017096
46,810.75,1.04113,1.63757,0.71771,0.96063,0,0.88396,0.94459,0.8956,0.56407,0.89401,0.9536,0.90417,0.60386,1.0221,1.48249,0.86283,1.00144,0,0.001703,0.001703,0.001703
47,838.766,1.02827,1.65221,0.71687,0.96061,0,0.89095,0.9627,0.91269,0.61157,0.89819,0.96937,0.91709,0.61875,1.01459,1.53131,0.80487,0.99015,0,0.0016964,0.0016964,0.0016964
48,872.012,1.04317,1.6392,0.71533,0.95546,0,0.8615,0.95701,0.88098,0.56096,0.86892,0.96497,0.88487,0.58077,1.01913,1.55055,0.87192,0.98597,0,0.0016898,0.0016898,0.0016898
49,904.518,1.02953,1.64291,0.70908,0.95525,0,0.86868,0.92901,0.88878,0.59458,0.87682,0.94108,0.89694,0.58812,1.00942,1.60787,0.83808,0.98798,0,0.0016832,0.0016832,0.0016832
50,937.3,1.01344,1.62516,0.70312,0.94929,0,0.88321,0.93446,0.89155,0.56914,0.89152,0.94268,0.90119,0.58342,1.00676,1.55058,0.86769,0.97654,0,0.0016766,0.0016766,0.0016766
51,971.672,1.00235,1.59794,0.70171,0.94653,0,0.8752,0.94915,0.88554,0.55676,0.889,0.96412,0.89912,0.58838,1.03631,1.54776,0.86327,1.00351,0,0.00167,0.00167,0.00167
52,1004.4,1.02762,1.62253,0.71467,0.95223,0,0.86777,0.95987,0.89379,0.59817,0.87764,0.97078,0.89935,0.59282,1.02197,1.51659,0.80665,1.00162,0,0.0016634,0.0016634,0.0016634
53,1037.17,1.01889,1.61277,0.71654,0.95038,0,0.88064,0.92516,0.90069,0.61189,0.89458,0.93981,0.90897,0.60395,0.96223,1.50854,0.83877,0.97813,0,0.0016568,0.0016568,0.0016568
54,1057.2,1.03499,1.64487,0.71874,0.96104,0,0.87247,0.92159,0.87273,0.54183,0.89875,0.94699,0.90199,0.589,1.07267,1.53215,0.90612,1.02448,0,0.0016502,0.0016502,0.0016502
55,1090.08,1.039,1.6321,0.70489,0.95538,0,0.85421,0.94231,0.87617,0.57507,0.87014,0.95598,0.8905,0.59161,0.97307,1.4923,0.87951,0.97945,0,0.0016436,0.0016436,0.0016436
56,1108.8,1.03408,1.61888,0.71149,0.94753,0,0.88587,0.93599,0.89823,0.59117,0.89431,0.9449,0.90574,0.59941,0.9934,1.5409,0.84153,0.98375,0,0.001637,0.001637,0.001637
57,1131.17,1.01187,1.60508,0.68916,0.95253,0,0.88203,0.92166,0.8926,0.59895,0.89014,0.92899,0.90001,0.59629,1.0074,1.53663,0.82895,0.99026,0,0.0016304,0.0016304,0.0016304
58,1159.54,1.02023,1.64093,0.70892,0.95359,0,0.87392,0.95605,0.88172,0.56797,0.88455,0.96338,0.89182,0.58581,1.04439,1.54809,0.8573,0.9933,0,0.0016238,0.0016238,0.0016238
59,1190.37,1.00729,1.61169,0.69604,0.95345,0,0.87956,0.94108,0.89669,0.60847,0.8883,0.94809,0.90178,0.59439,0.975,1.55625,0.82187,0.97045,0,0.0016172,0.0016172,0.0016172
60,1216.8,1.0166,1.61661,0.69094,0.94661,0,0.86045,0.94777,0.89703,0.60185,0.8658,0.95478,0.90029,0.60074,0.98676,1.51832,0.8245,0.97718,0,0.0016106,0.0016106,0.0016106
61,1245.15,1.00401,1.62044,0.70238,0.95068,0,0.87398,0.95159,0.88873,0.58902,0.88469,0.96497,0.89769,0.57412,1.00741,1.58276,0.81406,0.98384,0,0.001604,0.001604,0.001604
62,1274.32,0.99038,1.61105,0.68015,0.94768,0,0.88279,0.93248,0.89804,0.59019,0.89646,0.94577,0.91025,0.59286,1.02373,1.55154,0.82429,0.98949,0,0.0015974,0.0015974,0.0015974
63,1303.04,1.01403,1.63024,0.69651,0.94862,0,0.86317,0.94777,0.88798,0.58957,0.8723,0.955,0.89548,0.59617,0.97487,1.51096,0.8411,0.97496,0,0.0015908,0.0015908,0.0015908
