epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3307,1.52498,2.44788,1.48358,1.20487,0,0.74795,0.79936,0.80438,0.42497,0.77397,0.81898,0.83548,0.48313,1.21842,2.11536,1.82568,1.08182,0,0.000654762,0.000654762,0.000654762
2,33.0172,1.29941,2.14821,1.03073,1.06895,0,0.77276,0.85992,0.84112,0.47997,0.77766,0.86214,0.84784,0.46728,1.26534,2.14701,1.18893,1.12518,0,0.00131707,0.00131707,0.00131707
3,45.3559,1.27682,2.07889,1.09037,1.05988,0,0.88639,0.91306,0.89642,0.51621,0.8935,0.92038,0.90508,0.55787,1.1894,1.81422,1.47303,1.1016,0,0.00197497,0.00197497,0.00197497
4,57.5895,1.24943,2.05725,0.93912,1.04675,0,0.8595,0.92151,0.90317,0.5093,0.86359,0.92261,0.90631,0.54102,1.21179,1.87337,1.02396,1.09463,0,0.0019802,0.0019802,0.0019802
5,68.1777,1.2589,2.02862,0.9321,1.0525,0,0.85942,0.93844,0.8763,0.48138,0.86709,0.94682,0.88517,0.53081,1.21351,1.86925,1.03644,1.09271,0,0.0019736,0.0019736,0.0019736
6,81.2493,1.21935,1.91809,0.89553,1.03649,0,0.86072,0.90137,0.88203,0.52057,0.86771,0.90869,0.88861,0.53761,1.17815,1.8365,1.02707,1.08388,0,0.001967,0.001967,0.001967
7,93.8521,1.16476,1.91237,0.85831,1.02861,0,0.85511,0.93949,0.87782,0.50369,0.8638,0.94904,0.8877,0.52225,1.19917,1.99903,0.99417,1.09499,0,0.0019604,0.0019604,0.0019604
8,103.427,1.19826,1.92696,0.87077,1.02192,0,0.80124,0.90828,0.83645,0.48355,0.8074,0.91656,0.84416,0.51254,1.14006,1.81294,1.11556,1.0447,0,0.0019538,0.0019538,0.0019538
9,114.299,1.18157,1.87084,0.84653,1.02064,0,0.86907,0.93885,0.89007,0.49588,0.87172,0.94268,0.89538,0.55889,1.21983,1.73688,0.98148,1.09103,0,0.0019472,0.0019472,0.0019472
10,141.062,1.1477,1.87377,0.82293,1.00973,0,0.84581,0.8805,0.86136,0.52107,0.86278,0.89459,0.87933,0.54797,1.09125,1.66005,0.98216,1.02699,0,0.0019406,0.0019406,0.0019406
